企業番号	"生産品目"
19850364	自動車用部品の開発・設計・製造
19970725	太陽電池用シリコン製品製造
19850628	石油精製業（ガソリン，軽油，灯油等）
19870298	ビル・工場・倉庫その他各種鉄骨建築，設計施工
19850672	工作機械製造業
19911738	自動車部品製造
19860601	石油精製業
19880566	石油化学製品製造
19860578	製鉄及び産業機械等設計製作据付保全
19880633	船舶用推進機器，医療器具等製造・販売
19880486	総合建設業
19850606	自動車・産業用ゴム部品製造販売
19900974	製鉄所製造補助，太陽電池半導体原料製造
19901496	鋼板の表面処理，溶断，塗装・防水工事
20000316	港湾運送事業
20080016	港湾運送事業
19850695	鉄鋼業（鋼片，形鋼，棒鋼，鋼板製造）
19850122	自動車部品製造
20070035	シ－トアジャスタ等自動車部品製造販売
20000002	総合建設業
19870636	輸送用機械器具製造(鋼板剪断加工)
20030330	ｸﾚｰﾝﾘｰｽ，運送業，基礎工事
19850254	自動車部品製造
20010412	石油タンカー荷役作業,船舶代理店，通関業務
19900632	電気工事
19850112	超硬耐磨耗工具製造販売業
20070205	工業用ゴム製品・建材・シール材製造販売
19850530	機械設計・開発・複写・印刷・プログラム
19880697	舶用内燃機関部分品
19891162	マンガン系合金鉄,特殊セラミックス製造販売
19850651	ＰＶＯＨ・ＥＶＯＨ等有機化学品製造
19891110	船舶造修
20020340	鋼材加工・販売,通関，海運業
19930068	自動車 試作開発部品金型治具設計製造 
19850639	化学工業
19870335	自動車・農機具部品の製造
19910555	無機有機化成品，合成樹脂，医薬品製造販売
19850079	商品社の輸送、車の販売・整備、特装車製作
20030070	生産設備製造，航空機等産業用機械設計製作
19850479	自動車部品製造・組立、貨物取扱業他
20080041	自動制御機器の計装エンジニアリング他
19910230	電気工事，電気通信工事
19900011	鋼船建造修繕，鉄鋼構造物製作・据付
19850558	農業用機械・部品開発・製造・販売
19880497	工作機械およびその付属機器の設計・製造他
19850106	自動車部品製造
19860053	輸送用機械器具製造
19860054	建設・産業機械等レンタル及び販売
19920926	建設・産業機械等レンタル及び販売
20060088	一般産業用機械・装置製造業
19901367	自動車用品総合専門店オートバックスの展開
20010275	自動車用品総合専門店オートバックスの展開
19911874	プロダクション業務
19890115	総合メンテナンス・物流事業
20050005	電気機械器具製造業（自動車用電装品，電子制御装置）
19880104	自動車製造
19860155	鉄鋼製品(鋼板，鋼管等)製造，販売等
